zone,year2013,year2014,year2015,year2016,delta
Don James Center,592,590,606,600,1%
Suites,438,432,502,458,4%
Touchdown Terrace,270,270,270,270,0%
Club Husky $1950,1129,"1,136","1,155","1,156",2%
Club Husky $1650,447,460,464,468,4%
Club Husky 1350,464,450,461,460,-1%
Club Husky 1050,401,376,402,406,1%
Tyee $750,5440,"5,140","4,807","4,779",-12%
Tyee $550,1386,"1,316","1,490","1,567",13%
Tyee $450,6867,"6,230","5,441","5,155",-25%
Tyee $350,1927,"1,911","1,911","1,925",0%
Tyee $250,830,789,744,678,-18%